anno,mese,giorno,Pioggia mm,Temp. min gradi C,Temp. med gradi C,Temp. max gradi C,Umidita' min %,Umidita' med %,Umidita' max %,Vento med km/h,Vento max km/h,Dir. V. max gradi N,Radiaz. KJ/m2,Press. med hPa
2023,12,24,0.0,9.9,12.4,14.6,69.0,81.0,87.0,7.0,25.0,140.0,6428.0,1013.3
2023,12,25,0.0,9.4,11.5,14.4,77.0,86.0,92.0,6.0,32.0,225.0,5644.0,1018.3
2023,12,26,0.0,9.2,11.0,11.9,82.0,86.0,90.0,4.0,13.0,276.0,832.0,1020.3
2023,12,27,0.0,10.7,11.2,12.0,78.0,87.0,92.0,4.0,12.0,318.0,1013.0,1026.2
2023,12,28,0.0,10.5,11.6,12.3,71.0,80.0,91.0,6.0,21.0,198.0,995.0,1026.6
2023,12,29,0.0,10.3,11.1,12.2,79.0,86.0,92.0,5.0,14.0,318.0,1099.0,1022.6
2023,12,30,0.2,10.3,11.0,11.6,90.0,92.0,93.0,4.0,12.0,315.0,965.0,1021.0
2023,12,31,1.0,10.9,12.1,14.9,75.0,88.0,94.0,8.0,42.0,177.0,742.0,1015.0
2024,1,1,1.8,9.1,11.3,15.0,66.0,78.0,90.0,12.0,50.0,163.0,3708.0,1012.6
2024,1,2,0.9,8.2,9.2,10.5,74.0,83.0,90.0,8.0,27.0,212.0,2760.0,1014.3
2024,1,3,0.0,9.0,9.8,10.6,81.0,89.0,93.0,5.0,23.0,295.0,1090.0,1008.7
2024,1,4,0.0,7.7,8.9,9.8,83.0,87.0,91.0,7.0,24.0,274.0,1995.0,1009.5
2024,1,5,2.7,8.1,12.8,14.7,73.0,79.0,85.0,9.0,26.0,147.0,3309.0,1008.4
2024,1,6,22.6,10.3,12.8,15.0,67.0,82.0,91.0,23.0,89.0,73.0,699.0,999.0
2024,1,7,0.9,8.1,9.7,10.6,61.0,67.0,76.0,41.0,92.0,62.0,1179.0,999.6
2024,1,8,0.2,4.3,5.6,8.2,55.0,60.0,67.0,29.0,81.0,69.0,5077.0,1012.2
2024,1,9,0.0,1.7,3.6,5.0,37.0,51.0,66.0,36.0,98.0,52.0,7155.0,1023.2
2024,1,10,0.0,1.4,3.1,5.4,43.0,55.0,66.0,40.0,80.0,86.0,6056.0,1027.6
2024,1,11,0.0,2.4,5.9,10.4,21.0,35.0,52.0,17.0,52.0,86.0,7681.0,1023.9
2024,1,12,0.0,4.0,6.4,8.2,30.0,46.0,61.0,19.0,59.0,73.0,7581.0,1024.0
2024,1,13,0.0,2.8,5.6,9.4,50.0,62.0,74.0,7.0,34.0,89.0,7333.0,1021.9
2024,1,14,1.2,5.8,7.3,8.6,71.0,78.0,86.0,8.0,22.0,196.0,1329.0,1012.7
2024,1,15,0.1,6.4,7.4,8.1,66.0,81.0,90.0,6.0,32.0,96.0,1900.0,1002.2
2024,1,16,0.1,5.7,8.2,11.4,34.0,54.0,72.0,17.0,57.0,64.0,8130.0,1009.4
2024,1,17,18.3,6.6,7.8,9.0,72.0,86.0,95.0,5.0,15.0,20.0,564.0,1004.6
2024,1,18,11.1,8.0,9.7,14.4,81.0,92.0,96.0,7.0,40.0,176.0,1317.0,997.8
2024,1,19,6.8,3.5,6.5,10.1,49.0,75.0,95.0,44.0,105.0,62.0,1067.0,1009.8
2024,1,20,0.1,2.3,4.3,6.3,32.0,47.0,62.0,30.0,96.0,44.0,9123.0,1029.2
2024,1,21,0.0,4.3,7.1,11.0,20.0,33.0,53.0,11.0,41.0,53.0,8947.0,1032.9
